sounds,files,words,correct_answer,training,practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome_animation.started,welcome_animation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,instructions.started,instructions.stopped,ISI.started,ISI.stopped,text.started,text.stopped,text_2.started,text_2.stopped,start.started,start.stopped,breaks.started,breaks.stopped,end.started,end.stopped,participant,date,expName,psychopyVersion,frameRate,
stimuli/SC_S1_yu4-w_305ms.wav,SC_S1_yu4-w_305ms.wav,1-迂          2-鱼          3-雨          4-玉,4,None,,,,,0,42,42,36,,,,,,,2,0,2.780219853999938,359.88267667799994,None,359.377573211,None,0.0010891378000223995,0.5010891378000224,361.37846626399994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S2_yi1-p_305ms.wav,DW_S2_yi1-p_305ms.wav,1-衣          2-姨          3-椅          4-意,1,None,,,,,0,43,43,112,,,,,,,1,1,2.268946751000044,363.185979007,None,362.682157413,None,0.0010124769999038108,0.5010124769999038,364.68546158899994,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_ma1-p_192ms.wav,DW_S1_ma1-p_192ms.wav,1-妈          2-麻          3-马           4-骂,1,None,,,,,0,44,44,80,,,,,,,1,1,2.1404528990000244,365.9784561,None,365.47410288899994,None,0.00019370639995486272,0.5001937063999549,367.47344602,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yi3-w_192ms.wav,SC_S1_yi3-w_192ms.wav,1-衣          2-姨          3-椅          4-意,3,None,,,,,0,45,45,146,,,,,,,3,1,2.5603901939999787,368.63852230299995,None,368.13320141400004,None,0.0010992490000489852,0.501099249000049,370.135421943,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_e2-w_192ms.wav,DW_S1_e2-w_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,2,None,,,,,0,46,46,56,,,,,,,2,1,2.9001938609999343,371.722743345,None,371.21801742599996,None,0.0014518340000222452,0.5014518340000222,373.216122335,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_wu2-p_305ms.wav,SC_S1_wu2-p_305ms.wav,1-乌          2-无          3-五          4-物,2,None,,,,,0,47,47,129,,,,,,,3,0,2.396091311999953,375.14681516199994,None,374.64094067999997,None,0.0007462354000153937,0.5007462354000154,376.640790156,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_e4-w_192ms.wav,SC_S1_e4-w_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,4,None,,,,,0,48,48,102,,,,,,,4,1,2.075645098999985,378.067267046,None,377.56220802199994,None,0.0017345949999025834,0.5017345949999026,379.563031678,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S1_yi4-w_305ms.wav,SC_S1_yi4-w_305ms.wav,1-衣          2-姨          3-椅          4-意,4,None,,,,,0,49,49,149,,,,,,,1,0,2.5343706570000677,380.664537529,None,380.159282682,None,0.0008233359999394452,0.5008233359999394,382.16053811300003,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/DW_S1_wu1-p_192ms.wav,DW_S1_wu1-p_192ms.wav,1-乌          2-无          3-五          4-物,1,None,,,,,0,50,50,6,,,,,,,1,1,1.9577616740000394,383.72114740200004,None,383.216518458,None,0.000138724400017054,0.500138724400017,385.217523832,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
stimuli/SC_S2_e3-p_192ms.wav,SC_S2_e3-p_192ms.wav,1-婀          2-鹅          3-恶（恶心）          4-饿,3,None,,,,,0,51,51,153,,,,,,,3,1,2.228688938000005,386.20221517100003,None,385.69678241400004,None,0.001608345000022382,0.5016083450000224,387.69612991500003,None,None,None,,,,,,,13,2021_Dec_30_1307,Whispered,2021.2.3,488.51899750144685,
